# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.2499084857252042,0.0,0.7288223373738026,1.372076497549929,0.0,0.0
 0.06924775306959978,0.011988128262970663,0.17311938267399943,2.4999999999999996,0.2499084857252042,0.0,0.7288223373738026,1.372076497549929,0.0,0.0
 0.09788371093965531,0.02395305216829499,0.41782866002313773,8.545524422810717,0.7500311665988533,0.0,0.7304700337170507,1.368981551387435,17.46484902454144,609.8922586698012
 0.11982564503602282,0.03589546302074735,0.5442733899391954,5.762697552582232,1.2503278036484546,0.0,0.7320122269374714,1.3660974000170905,22.800936091245738,243.19128128215866
 0.13829829759832138,0.047816047796484656,0.6453098565858602,5.469515886033248,1.7507508634565847,0.0,0.7334484950184713,1.3634222536305236,27.08994055512417,232.18129878282875
 0.15455159531659882,0.05971548903726431,0.7321247322873002,5.341369930350413,2.2512529252122393,0.0,0.7347785068982267,1.3609543428554707,30.793877675225335,227.8883451409342
 0.1692270247286124,0.07159446474624598,0.8094465501130287,5.268794231154242,2.7517867139339396,0.0,0.7360020226523993,1.3586919182588744,34.10692625538808,225.7547964797967
 0.1827059367239809,0.08345364828546828,0.8798324036314839,5.221923961120938,3.2523051334323667,0.0,0.7371188936272447,1.3566332495958138,37.13344368376401,224.53722002309004
 0.19523699267821948,0.09529370827508782,0.9448573235055004,5.189101390296012,3.752761299015698,0.0,0.7381290622405472,1.3547766253296667,39.93727004419399,223.75020673988763
 0.20699305156885411,0.10711530849446574,1.0055751106176831,5.164808008962339,4.253108569816385,0.0,0.7390325616957967,1.353120351971208,42.56079996326701,223.16406743785842
 0.2181000759148747,0.11891910778518526,1.0627328187093212,5.146086504448554,4.753300580750665,0.0,0.7398295155306945,1.3516627533880965,45.03384483113041,222.65593293215747
 0.22865323960624692,0.1307057599560794,1.116883288802803,5.131207254726164,5.25329127402653,0.0,0.7405201369191704,1.350402170237205,47.37827516924002,222.15426640508835
 0.23872654958370024,0.14247591369034718,1.1684494729748665,5.119090377192988,5.753034930140505,0.0,0.7411047278974527,1.3493369592136386,49.61066990220009,221.61481558263785
 0.24837891412503743,0.15423021245483176,1.2177636592718448,5.10902650700619,6.252486198345014,0.0,0.7415836782855094,1.348465492541491,51.74392927925176,221.00899400512554
 0.2576581412736907,0.16596929441153283,1.265092638496819,5.100530299211757,6.751600126502774,0.0,0.7419574646602931,1.347786157064748,53.78830803061002,220.3177827859259
 0.266603670140842,0.1776937923314172,1.3106545285363307,5.093258399379646,7.250332190320928,0.0,0.7422266488866315,1.3472973538474244,55.75210490343798,219.52831431120526
 0.27524849391820266,0.18940433351059707,1.3546304101476128,5.086961023595136,7.748638321882983,0.0,0.7423918768065181,1.3469974972000127,57.642138740530015,218.631852512914
 0.28362054910667883,0.20110153968893502,1.397172607562206,5.081452099497743,8.246474937464852,0.0,0.7424538764875936,1.346885014232544,59.46408669965793,217.62254525457087
 0.2917437416440182,0.212786026971129,1.438410726876739,5.076590161439175,8.743798964586405,0.0,0.7424134565418712,1.3469583440175714,61.22273045179448,216.49662297830656
 0.2996387196277128,0.2244584057503377,1.4784561531793314,5.072265734660377,9.24056786825012,0.0,0.7422715042744621,1.3472159368120378,62.92213919908083,215.25186654048946
 0.3073234651857169,0.23611928063439136,1.517405462033576,5.068392773743394,9.736739676376311,0.0,0.7420289835223647,1.3476562536048973,64.56580824714518,213.88724397678783
 0.3148137547024503,0.24776925037463637,1.555343049720416,5.064902711982874,10.232273004308231,0.0,0.7416869326794588,1.3482777651041327,66.15676561298353,212.40265309960674
 0.32212352152393636,0.25940890779745474,1.5923431905659713,5.061740237294383,10.727127078477983,0.0,0.7412464623351606,1.34907895121642,67.69765524054671,210.79873889190958
 0.3292651452786939,0.27103883973849846,1.6284716670065738,5.058860237006302,11.22126175911773,0.0,0.7407087529770392,1.3500583002169524,69.19080276534785,209.076755661687
 0.3362496851922221,0.2826596269796712,1.6637870761772946,5.0562255507079525,11.714637562008413,0.0,0.7400750525013199,1.351214308089674,70.63826808907943,207.23846404371037
 0.34308707010838646,0.2942718441888923,1.6983418882515298,5.053805292216852,12.207215679291073,0.0,0.7393466736651412,1.35254547781047,72.04188784489045,205.28605205371755
 0.34978625465427454,0.3058760598626626,1.7321833119066539,5.05157357933896,12.698957999229162,0.0,0.7385249915329979,1.3540503184925994,73.40330999538114,203.22206996466704
 0.35635534864596324,0.3174728362714651,1.765354008250591,5.049508560222319,13.189827125037473,0.0,0.7376114406695751,1.35572734486363,74.72402228212381,201.04938191075624
 0.3628017251381309,0.3290627294080098,1.797892684460234,5.047591658535229,13.679786392589687,0.0,0.736607512491242,1.3575750763360421,76.00537575605671,198.77111978950418
 0.3691321112763527,0.34064628893834414,1.829834591036209,5.04580698215472,14.168799887180583,0.0,0.7355147523475879,1.3595920364727399,77.24860441582142,196.39065178951668
 0.3753526651861363,0.3522240581558394,1.861211941156222,5.044140855473195,14.656832459178863,0.0,0.7343347567596376,1.3617767520805502,78.45484165497074,193.9115481745396
 0.38146904143747234,0.3637965739380601,1.8920542665590296,5.042581446174199,15.143849738663166,0.0,0.733069170432464,1.3641277526513138,79.62513414342686,191.33755680914712
 0.3874864470953892,0.37536436670651974,1.922388721332151,5.041118464933741,15.62981814897119,0.0,0.7317196834227286,1.3666435694641286,80.7604535799665,188.67257769898364
